,機能定義書,,,,,,,,,,,,
,システム名,Flask tech blog,,,,,,,,,,,
,作成者,松田有人,作成日,,,,,,2026/2/15,,,,
,更新者,同上,更新日,,,,,,,,,,
,業務,機能名,説明,BP,エンドポイント,ルーティングパターン,HTTPメソッド,説明,ランク,,1. ドキュメント・README関連,,
,ユーザー情報,登録,ユーザーの新規登録をする,auth,auth.register,/auth/register,"GET,POST",登録,C,,,README作成・更新: ,README.mdの追加、下書き作成、詳細情報の追記
,,キャンセル,ユーザーの新規登録をキャンセルする,,,,,,E,,,READMEマークアップ修正: ,コードタグのテスト、HTML詳細レイアウトの修正
,,ログイン,登録ユーザーでログインする,,auth.login,/auth/,"GET,POST",登録,C,,,画像追加: ,README用画像、admin.jpgの追加
,,キャンセル,ユーザーアカウントを削除する,,,,,,E,,,説明書更新: ,README内の使用説明（Instruction）の修正
,,ログアウト,ログイン状態を解除する,,auth.logout,/auth/logout,GET,表示,D,,,,
,,変更(自身のみ),ユーザー情報を変更する,,auth.edit,/auth/edit,"GET,POST",登録,C,,2. 認証・ユーザー管理,,
,,ユーザーID重複チェック,ユーザーIDの存在確認をリアルタイムで行う,,,,,,A,,,認証機能実装: ,JWT実装、Google OAuth（外部連携）追加、ログイン状態の保持（Remember me）
,,削除(自身のみ),ユーザー情報を削除する,,auth.delete,/auth/delete,POST,登録,C,,,ユーザー管理: ,ユーザー削除機能、アイコン追加、管理画面（ユーザー管理）の実装
,,キャンセル,ユーザー情報を変更をキャンセルする,,,,,,E,,,ログイン画面UI: ,チェックボックスのピルスタイル化、オートフォーカス設定、ログアウト時のフラッシュメッセージ修正
,,一覧表示（管理者のみ）,ユーザー情報一覧を表示する,,,,,,C,,,バリデーション: ,Reactによるリアルタイム・ユーザー名バリデーションの実装
,,一覧表示から削除（管理者のみ）,ユーザー情報一覧から削除する,,,,,,C,,,,
,,一覧表示をキャンセル,ユーザー情報一覧表示をキャンセルする,,,,,,E,,3. カテゴリ・記事関連,,
,OAuth,ログイン,外部認証によるログイン処理を開始する,,auth.oauth_login,/auth/oauth_login,GET,表示,A,,,カテゴリ機能: ,カテゴリ推奨機能、タグの追加・更新、カテゴリ機能（保留中）
,,コールバック処理,外部認証後のコールバック処理を行う,,auth.auth_callback,/auth/callback,GET,表示,A,,,コンテンツ追加: ,JWTおよびHTMXに関する記事の追加、HTMX基礎・演習内容の追加
,,GoogleIDの認証,GoogleAPIを利用して認証を行う,,auth.auth_google,/auth/google/callback,GET,表示,A,,,,
,,GoogleIDのユーザー情報表示,GoogleIDの基本情報のみを取得する,,auth.check_userid,/auth/api/check_userid,GET,表示,A,,,,
,公開表示機能,固定記事一覧メニュー,変更不可の記事をナビゲーションに表示する,,,,,,C,,,検索・ソート: ,検索およびソート状態の維持（State keeping）
,,固定記事一覧詳細,変更不可の記事の詳細情報を表示する,fixed,,,,,B,,,,
,,本日のおすすめ記事,1日全ユーザーの記事からランダムで1件表示する,,fixed.static_page,/fixed/<page_name>,GET,表示,D,,4. UI・UX・フロントエンド,,
,,投稿記事一覧表示,全ユーザーの投稿記事を一覧表示する,public,public.public_index,/,GET,表示,C,,,共通コンポーネント: ,フッター追加、固定ページの追加、タスクリストの追加
,,投稿記事詳細表示,投稿記事の詳細情報を表示する,,public.detail,/detail/<int:memo_id>,GET,表示,B,,,レスポンシブ対応: ,RWD（レスポンシブWebデザイン）の実装
,,いいねランキング標示,いいね数の多い順上位10件を標示する,,,,,,C,,,エフェクト・装飾: ,カラーモードのフェードイン効果、スクロールスパイ（Scrollspy）のテスト
,,カテゴリーおすすめ記事,自身の投稿時に付与したカテゴリー関する記事を表示する,,,,,,B,,,インタラクション: ,いいねボタン（保留中）、いいねカウント表示、ハートクリック時のUI挙動修正
,,ページング機能,投稿記事6件以上は次のページに表示する,,,,,,C,,,エラーページ: ,404ページの追加
,投稿記事管理,投稿記事の登録,投稿記事を追加する,memo,memo.create,/memo/create,"GET,POST",登録,C,,,,
,,投稿記事の変更,投稿記事を変更する,,memo.update,/memo/update/<int:memo_id>,"GET,POST",登録,C,,5. 機能・バックエンド・環境設定,,
,,投稿記事の削除,投稿記事を削除する,,memo.delete,/memo/delete/<int:memo_id>,GET,表示,D,,,状態管理: ,グローバル状態管理（State management）の実装、チェックボックスの状態管理
,,投稿記事の投稿日時順に並び換え,投稿日時順の新しい古い順にトグルで並び換える,,memo.index,/memo/,GET,表示,B,,,データ操作: ,チェックボックスによる一括削除・更新、送信後のストレージ削除
,,投稿記事のいいね数順に並び換え,いいね数の多い少ない順にトグルで並び換える,,memo.index,/memo/,GET,表示,B,,,システム設定: ,設定ファイル（config）の追加、環境変数（dotEnv）の導入
,,投稿記事のカテゴリー検索,選択したカテゴリーのみを表示する,,memo.index,/memo/,GET,表示,B,,,画像・ファイル: ,サムネイル更新、ファイルアップロードの分離（保留中）、画像一括追加、画像更新機能の修正
,,投稿記事の検索,投稿記事を検索し用語をハイライトで表示する,,memo.index,/memo/,GET,表示,B,,,自動化: ,UMLの自動生成機能の追加
,いいね機能,いいねの追加,投稿記事のいいねを追加する（ログインユーザーのみ）,favorite,favorite.add,/favorite/add/<int:memo_id>,POST,登録,A,,,テストデータ: ,ファクトリー（初期データ生成）の追加
,,いいねの解除,投稿記事のいいねを解除する（ログインユーザーのみ）,,favorite.remove_favorite,/favorite/remove/<int:memo_id>,POST,登録,A,,,,
,カテゴリー管理,カテゴリーの選択,投稿記事の追加時にカテゴリーを選択する（3個まで）,category,,,,,A,,6. リファクタリング・スタイル修正,,
,,カテゴリーの解除,投稿記事の変更時にカテゴリーを解除する,,,,,,A,,,CSS最適化: ,CSSのリファクタリング（整理・共通化）
,サムネイル管理,ユーザーサムネイルのアップロード,ユーザー情報を編集時にサムネイル画像をアップロードする,auth,,,,,B,,,スタイル微調整: ,フォントサイズのカスタム変数編集、固定ページ内の画像・プリフォーマット（PRE）の修正
,,ユーザーサムネイルの選択,ユーザー情報を編集時に既存のサムネイル画像を選択する,,,,,,A,,,表示調整: ,管理画面の表示項目修正、メモ・参照・いいね・ログイン情報の表示追加
,,ユーザーサムネイルの表示,ログインユーザ名の横にサムネイルアイコンを表示する,,,,,,C,,,,
,,投稿記事画像のアップロード,投稿記事の追加時にキービジュアルをアップロードする,memo,,,,,C,,,,
,,投稿記事画像の表示,投稿記事のキービジュアルとしてモノクロ表示する,,,,,,C,,,,
,マイページ機能,投稿記事一覧表示,自身の投稿記事を一覧表示する,,memo.index,/memo/,GET,表示,C,,,,
,,投稿記事詳細表示,投稿記事の詳細情報を表示する,,memo.detail,/detail/<int:memo_id>,GET,表示,B,,,,
,,ページング機能,投稿記事10件以上は次のページに表示する,,memo.index,/memo/,GET,表示,C,,,,
,,成果物の表示,開発時の成果物をモーダルで表示する,,,,,,A,,,,
,,Githubの標示,開発全データをクラウド上で確認する,,,,,,E,,,,
,,外部参考リソースの表示,外部サービスのドキュメントリンクを表示する,,,,,,E,,,,
,成果物管理,ER図の生成,データベースからER図を自動生成する,docs,,,,,B,,,,
,,クラス図の生成,アプリケーションの構成からクラス図を自動生成する,,docs.diagram,/diagram,GET,表示,C,,,,
,,API定義のCSV生成,API定義のCSVデータをコマンドで生成する,,docs.generate_docs,/generate-docs,GET,表示,C,,,,
,管理機能,管理者IDのログイン,決済済みのユーザでログインする, admin,,,,,B,,,,
,,登録ユーザの無効化,一時的に登録ユーザーを無効化する,,admin.index,/admin/,"GET,POST",登録,B,,,,
,,カテゴリーの追加,カテゴリータグを追加する,,category.create,/category/add/<int:admin_id>,POST,登録,C,,,,
,,カテゴリーの削除,カテゴリータグを削除する,,category.delete,/category/remove/<int:admin_id>,POST,登録,C,,,,
,,固定ページの追加,固定ページを追加する,,fixed.create,/fixed/add/<int:admin_id>,POST,登録,B,,,,
,,固定ページの削除,固定ページを削除する,,fixed.delete,/fixed/remove/<int:admin_id>,POST,登録,C,,,,
,,ユーザーサムネイルの追加,ユーザーサムネイルを追加する,,,,,,C,,,,
,,ユーザーサムネイルの削除,ユーザーサムネイルを削除する,,,,,,C,,,,
,AI機能(仮案),タイトル入力から投稿記事の自動生成,入力されたタイトルから1000文字ほどのドラフト記事を生成する,,,,,,A,,,,
,,投稿記事の品質スコアによるグラフ生成,可読性・記述量など複数の観点からスコア化しグラフ生成する,,,,,,A,,,,
,,投稿記事の要約文の生成,投稿記事を解析し3行に要約したものを一覧に表示する,,,,,,A,,,,
,,投稿記事の翻訳文の生成,投稿記事の本文を翻訳する,,,,,,A,,,,
,,投稿記事の自動カテゴリー選択,投稿記事文章を解析して最適なカテゴリーを自動で選択する,,,,,,,,,,
,,投稿記事にNGワードが含まれる場合に警告,投稿記事内にNGワードが含まれていたら警告表示を行い自動バンする,,,,,,,,,,
,API決済,クレジットカードの入力決済,クレジットカード情報で入力決済をする,,,,,,A,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
